filename,concentration
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_N_R1_DIA.d,0.0
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_N_R2_DIA.d,0.0
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_N_R3_DIA.d,0.0
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_M_R1_DIA.d,0.001
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_M_R2_DIA.d,0.001
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_M_R3_DIA.d,0.001
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_L_R1_DIA.d,0.003
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_L_R2_DIA.d,0.003
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_L_R3_DIA.d,0.003
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_K_R1_DIA.d,0.005
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_K_R2_DIA.d,0.005
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_K_R3_DIA.d,0.005
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_J_R1_DIA.d,0.007
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_J_R2_DIA.d,0.007
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_J_R3_DIA.d,0.007
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_I_R1_DIA.d,0.01
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_I_R2_DIA.d,0.01
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_I_R3_DIA.d,0.01
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_H_R1_DIA.d,0.03
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_H_R2_DIA.d,0.03
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_H_R3_DIA.d,0.03
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_G_R1_DIA.d,0.05
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_G_R2_DIA.d,0.05
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_G_R3_DIA.d,0.05
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_F_R1_DIA.d,0.07
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_F_R2_DIA.d,0.07
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_F_R3_DIA.d,0.07
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_E_R1_DIA.d,0.1
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_E_R2_DIA.d,0.1
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_E_R3_DIA.d,0.1
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_D_R1_DIA.d,0.3
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_D_R2_DIA.d,0.3
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_D_R3_DIA.d,0.3
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_C_R1_DIA.d,0.5
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_C_R2_DIA.d,0.5
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_C_R3_DIA.d,0.5
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_B_R1_DIA.d,0.7
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_B_R2_DIA.d,0.7
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_B_R3_DIA.d,0.7
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_A_R1_DIA.d,1.0
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_A_R2_DIA.d,1.0
250310_Ultra_HumanYeast_Desnaux_100ng_50ms_100SPD_A_R3_DIA.d,1.0
